,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
302671,0,,,,
232411,0,,,,
232497,1,1379,buckfastnews,1482,323
232492,1,5971,rhodes_trust,5557,2038
234239,0,,,,
1061120,0,,,,
1047178,1,204,Ukinfnepal,82,106
326933,0,,,,
234343,1,27835,epilepsyaction,25726,2166
232548,0,,,,
232666,1,1144,WEIZMANNUK,552,812
509504,0,,,,
271916,0,,,,
1048093,0,,,,
232632,0,,,,
509196,0,,,,
504839,1,119,HollandHRetreat,86,88
234558,0,,,,
1048212,1,669,ageuk_wf,760,1246
235703,0,,,,
504612,0,,,,
234556,1,370,EchoesIntl,122,87
1051507,0,,,,
236586,0,,,,
271610,0,,,,
1052955,1,2764,CitizensTrust_,129,286
237340,0,,,,
271957,0,,,,
237760,1,253,shs_swaffham,770,2698
1056846,0,,,,
271750,0,,,,
237911,1,2035,TheWilverley,331,420
272161,0,,,,
1056852,1,5652,Circomedia,6705,1885
1059098,1,2419,hunterhall_sch,661,530
272676,1,1064,Esperanto_UK,1593,50
1059832,1,664,ChernobylUK,748,554
239281,1,8391,wellbeingofwmen,10040,3459
273344,1,1301,GGSurreyWest,654,291
1061869,0,,,,
240562,0,,,,
238426,0,,,,
234518,1,7433,USPGglobal,3136,2258
273945,0,,,,
275776,0,,,,
276451,0,,,,
273972,0,,,,
278172,0,,,,
244823,0,,,,
275782,0,,,,
245661,0,,,,
233782,1,5557,BMSWorldMission,2613,147
264927,0,,,,
247919,1,7581,ifesworld,5675,658
269936,0,,,,
281303,0,,,,
282159,0,,,,
283921,0,,,,
265103,1,3717,CamHouse1889,2430,1681
279858,1,61,HealthBooksIntl,93,311
284116,0,,,,
277024,1,1178,OfReligious,180,219
270525,0,,,,
286490,0,,,,
281721,1,1533,kartennetwork,480,862
265139,1,3140,ArchBenSoc,2563,1705
295756,0,,,,
290786,0,,,,
298365,1,7908,TheWFA,8687,552
266633,0,,,,
298053,0,,,,
313371,0,,,,
236627,0,,,,
238045,0,,,,
239904,0,,,,
241083,0,,,,
278569,0,,,,
245700,0,,,,
278837,1,10166,ReachVolunteer,12336,5564
277746,0,,,,
278923,0,,,,
277726,0,,,,
242715,0,,,,
247186,1,10756,LondonCM,4712,896
278960,0,,,,
279624,0,,,,
243134,1,7636,ChichesterDio,3664,1000
244976,1,9606,dioceseofyork,4290,615
281736,0,,,,
249767,1,6115,DioceseofDerby,3213,333
234714,0,,,,
327014,1,28722,shopify,242377,3312
247358,0,,,,
272931,0,,,,
242552,1,4441,UnitedSynagogue,6354,412
282665,0,,,,
506088,0,,,,
282789,0,,,,
505863,0,,,,
272663,1,943,AshfoldSchool,455,69
246871,1,1303,BishopEgan,4562,20
326941,0,,,,
272505,1,61131,SCoRMembers,7707,150
327889,1,2345,TheIrelandFunds,4522,1481
270147,0,,,,
282803,1,243,ccs_plymouth,57,125
509383,0,,,,
273586,1,1648,AbbeyGateColl,1116,161
504178,0,,,,
313811,1,12480,SCIupdate,2859,1712
504262,1,265,northeastyfc,349,158
312259,0,,,,
271519,1,2732,Kisharon,1735,1939
313812,0,,,,
505109,0,,,,
270659,1,1658,MWB_UK,258,519
310952,1,992,RCET_Scot,558,930
270757,1,723,copthorneprep,481,107
508884,0,,,,
307512,0,,,,
271012,1,4113,Wimbookfest,3394,1023
284933,0,,,,
310023,1,2930,lsjs_hendon,1891,588
504202,0,,,,
271117,0,,,,
503663,0,,,,
247233,1,7763,ncldiocese,3703,692
248330,1,3938,DioTruro,2451,817
263198,0,,,,
270158,1,1681,rosehillschool,2856,115
500578,1,854,shefforatorio,890,265
299877,0,,,,
269668,1,13933,greyhoundtrust,19030,2123
500553,0,,,,
249256,1,15627,CofEPortsmouth,2990,527
328668,1,1495,bactauk,973,577
270288,1,5478,kidneycareuk,3871,1106
328571,0,,,,
328265,1,265,IYFUK,508,650
304708,0,,,,
270143,1,1014,st_aubyns,434,57
313625,0,,,,
285270,0,,,,
270302,1,2943,lfsorguk,17253,830
298980,0,,,,
301929,0,,,,
268482,1,1081,RosemeadPrep,519,44
305628,0,,,,
267116,1,6355,Porchlight1974,3661,751
311459,0,,,,
313460,0,,,,
267174,0,,,,
326367,0,,,,
268218,1,1799,macmillanlocal,1378,1609
328258,1,1454,SaltersCompany,940,569
250312,1,12225,RoyalCornwall,7859,778
286496,0,,,,
313814,0,,,,
287738,1,3575,Exalumni,3614,608
291410,0,,,,
314203,0,,,,
247778,1,11150,CofEWorcester,3798,1246
285472,0,,,,
326358,0,,,,
270060,0,,,,
248226,1,10427,InstituteLM,5457,1009
292063,0,,,,
248287,0,,,,
248887,1,108,diostalbans,147,28
314139,1,1191,BFBIU,155,466
310318,0,,,,
249318,0,,,,
313217,0,,,,
248919,1,2330,cofesuffolk,1683,280
273071,1,12165,imperialcollege,85536,3224
249339,1,13148,seeofrochester,1230,907
303196,0,,,,
249359,1,9881,diocswellnott,2420,1734
310929,0,,,,
269665,0,,,,
311529,0,,,,
286039,0,,,,
249398,1,8960,BathWells,3954,751
309233,0,,,,
286068,0,,,,
249424,1,5048,DioManchester,2761,686
272926,1,19547,royalacademy,421015,3337
286242,0,,,,
266620,0,,,,
307016,0,,,,
267043,1,8759,WacArts,3584,2688
298218,0,,,,
290334,0,,,,
297857,1,36,Alder_Bridge,72,150
264078,1,4649,YWAMEngland,1730,25
295333,0,,,,
295122,0,,,,
266813,1,6460,Soc_Endo,6524,1224
295573,1,925,SafeRoadDesign,3119,199
294869,1,2062,ET_Conservation,1136,711
262334,0,,,,
261245,1,3374,LionHeartRICS,1613,1172
293808,0,,,,
293662,0,,,,
293657,0,,,,
272619,0,,,,
292673,0,,,,
296418,0,,,,
266983,1,2851,ZCTrust,1566,238
296582,0,,,,
296717,0,,,,
296975,0,,,,
298116,1,1540,WimborneModTown,795,206
263446,1,5286,BritishYFC,10893,610
298173,0,,,,
264017,1,12338,MicrobioSoc,30716,1306
297712,0,,,,
298510,1,578,puno_londyn,328,158
261035,1,3688,RCPath,6087,651
300309,0,,,,
288358,0,,,,
286472,0,,,,
289541,0,,,,
250607,0,,,,
251403,0,,,,
255695,1,,SHEnglishProvince,,
251233,1,8713,wycliffeuk,5209,1454
250536,0,,,,
264166,0,,,,
269123,0,,,,
249740,1,11475,livdiocese,6033,1587
251211,0,,,,
261926,1,9942,IBMScience,7384,1310
251549,1,10352,ElimPentecostal,9425,61
251977,1,1529,CarlisleDiocese,2768,110
252157,1,7663,york_minster,19353,931
290884,0,,,,
254312,0,,,,
290798,0,,,,
257343,0,,,,
292603,0,,,,
1068777,0,,,,
254543,0,,,,
1040607,0,,,,
252878,1,5739,ABDiocese,2829,527
258421,1,538,Agape_UK,343,83
1040252,0,,,,
1032642,0,,,,
254642,1,3495,oascharity,2191,2216
1065722,0,,,,
1039704,1,997,hastings1066cab,1274,1190
1000796,0,,,,
1002205,0,,,,
258489,1,5042,burghleyhouse,6711,747
1039234,0,,,,
258713,0,,,,
1039747,0,,,,
1039099,0,,,,
259558,1,20699,staffswildlife,11637,2180
1038847,0,,,,
273589,0,,,,
1077592,1,9317,ihr_history,30234,640
1038793,0,,,,
1020038,0,,,,
259736,0,,,,
1077365,1,3502,ThePTrust,1516,1579
262191,1,7815,lullabytrust,8892,1509
1075361,1,3353,OVERTHEWALLCamp,3174,886
527597,0,,,,
1070807,1,66,UnicornOxford,39,4
1033250,0,,,,
258815,1,4574,TheIFS,30659,0
1038728,0,,,,
1035426,0,,,,
1069245,0,,,,
1091077,0,,,,
261488,1,6526,AMREF_UK,8600,3115
1028061,0,,,,
1016322,0,,,,
1071600,0,,,,
274100,0,,,,
301883,0,,,,
1068782,1,1424,WorthUnlimited,812,855
1036943,0,,,,
274166,0,,,,
515637,0,,,,
1036704,0,,,,
1063945,0,,,,
268502,0,,,,
300773,1,6,boveypool,88,60
512990,0,,,,
803632,0,,,,
274206,0,,,,
801260,0,,,,
301866,0,,,,
525790,0,,,,
1062595,0,,,,
1069589,1,11538,Woolf_Institute,4733,2463
1073185,0,,,,
1085469,0,,,,
276286,1,2578,ctvc,1140,701
1083081,0,,,,
1022554,0,,,,
1034412,0,,,,
277981,1,16264,RoyalSocBio,40638,1746
1081386,0,,,,
1082711,1,10990,stpaulslondon,46469,1941
1063949,1,899,DewisHousing,697,612
1073166,0,,,,
1070163,1,13463,RWABristol,13301,2838
1083113,0,,,,
256789,0,,,,
1062067,0,,,,
275386,0,,,,
247647,1,8788,cofelancs,2125,1083
257318,0,,,,
302245,0,,,,
275261,1,23206,MidwivesRCM,33515,4055
301100,0,,,,
302566,0,,,,
276250,0,,,,
1034731,0,,,,
521781,1,2108,girlguidingmids,2820,897
260059,0,,,,
275119,1,29280,theRCOT,25402,2262
303595,0,,,,
1026098,0,,,,
257516,0,,,,
261017,1,45983,macmillancancer,670096,2925
1068324,0,,,,
1021662,0,,,,
1029771,0,,,,
1070704,0,,,,
264289,1,7672,CITB_UK,43696,7574
1064238,0,,,,
1071067,0,,,,
264506,1,1305,ECITB_Skills,1179,838
266220,0,,,,
1075104,0,,,,
1038378,0,,,,
1037900,0,,,,
1077450,0,,,,
274664,1,1356,CFCSchool,920,130
1037894,0,,,,
1079024,0,,,,
1037373,0,,,,
1079593,0,,,,
1063196,0,,,,
1063886,0,,,,
1084403,0,,,,
1037268,0,,,,
1064508,0,,,,
1036859,0,,,,
1086711,1,1136,westvillehouses,663,771
1086990,0,,,,
1100602,1,2256,citylifesoton,508,243
276957,1,4143,BuxtonFestival,4601,1135
1036484,0,,,,
1036352,0,,,,
1087195,0,,,,
1064646,0,,,,
1088936,0,,,,
1036432,0,,,,
276441,0,,,,
1023793,0,,,,
277052,0,,,,
1093127,0,,,,
276960,1,1383,TrinitySeniorSc,337,128
1093131,0,,,,
1036169,0,,,,
1094052,1,,carmelcentreorg,,
278301,0,,,,
1036162,0,,,,
1035777,0,,,,
1035696,0,,,,
1094451,1,3894,SwarthmoreLeeds,2141,1539
277324,0,,,,
1031419,0,,,,
277077,0,,,,
1095328,1,6834,envisionUK,4890,1506
1095878,1,4441,UnitedSynagogue,6354,412
1096603,0,,,,
1066618,1,893,emmausoxford1,827,980
1096745,0,,,,
1067483,1,6044,emmausglos,2040,1765
1096860,1,420,LcctLeeds,477,828
1097009,1,1086,RCCEssex,686,337
1068018,0,,,,
1099487,1,341,riversidebham,191,117
277723,1,8712,TheatreRBath,22837,456
1102262,0,,,,
1103289,0,,,,
277439,0,,,,
1101251,1,595,stanstedpark,726,304
280859,0,,,,
1068077,1,2024,EarFoundation ,4843,1014
283556,0,,,,
1029427,0,,,,
1029505,0,,,,
290069,1,7431,DLFUK,21460,2477
281730,0,,,,
279476,0,,,,
1035315,0,,,,
266916,0,,,,
278746,0,,,,
269425,1,22036,Autism,150672,3377
269433,0,,,,
513219,1,308,PRODUCTIONSHAOS,331,211
278720,0,,,,
1035130,0,,,,
280392,0,,,,
1034747,0,,,,
270156,0,,,,
270860,1,6412,ihlondon,4645,1164
513038,0,,,,
280688,0,,,,
1034655,0,,,,
509713,0,,,,
271297,0,,,,
279267,1,1320,HolmewoodOnline,1247,915
512143,0,,,,
1032168,0,,,,
281276,1,10718,OrgResCent,5511,2357
1034023,0,,,,
271907,0,,,,
281371,0,,,,
281566,0,,,,
272050,0,,,,
1033562,0,,,,
280626,0,,,,
275936,0,,,,
281571,1,1760,AnimalCareTrust,4407,3170
1032802,0,,,,
1068892,0,,,,
282558,1,337,@Gatehouse1948,319,5
278973,0,,,,
1033535,0,,,,
1032557,0,,,,
281213,1,15861,BritishEcolSoc,21925,892
283627,0,,,,
280048,1,700,NorthbournePark,605,647
515278,0,,,,
516791,0,,,,
1032295,0,,,,
280883,1,1553,chsmoulsford,777,105
517177,0,,,,
280960,1,18262,NordoffRobbins1,16092,3632
1032080,0,,,,
517195,0,,,,
517546,0,,,,
518086,0,,,,
281074,1,2443,hcpt,2714,330
518459,1,762,burwarton_show,1570,1179
1031620,0,,,,
511836,1,3620,stnicnewcastle,2606,521
1031570,0,,,,
1072591,0,,,,
1031550,0,,,,
518657,1,12308,blistshill,10752,2392
518753,0,,,,
305265,0,,,,
281680,0,,,,
510048,1,1557,AngleseyShow1,1641,766
1029846,0,,,,
283877,0,,,,
515372,0,,,,
516523,0,,,,
1029423,0,,,,
281859,1,135,ELC_schools,45,46
510077,0,,,,
514539,0,,,,
1078330,1,6084,schoolgovnet,7426,958
283484,0,,,,
283708,0,,,,
517943,0,,,,
518759,0,,,,
519044,1,498,vogmusicfest,500,256
519333,0,,,,
1081102,0,,,,
284260,0,,,,
520406,0,,,,
1082165,0,,,,
521240,0,,,,
521404,1,27036,leicscountyhall,16592,1647
522846,0,,,,
523051,0,,,,
285174,1,1878,BTSchief,2735,176
523216,0,,,,
529217,0,,,,
528872,0,,,,
285696,0,,,,
231433,0,,,,
525191,0,,,,
